127.0.0.1, 2019-11-14 17:22:21, GET, /, HTTP/1.1, 303, 0.110690
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.211706
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000887
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001646
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001489
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002566
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001880
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003231
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002540
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001939
127.0.0.1, 2019-11-14 17:22:21, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003539
127.0.0.1, 2019-11-14 17:22:22, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000265
127.0.0.1, 2019-11-14 17:22:22, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000422
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.016698
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000362
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000455
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000759
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000870
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000616
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002099
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001726
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001095
127.0.0.1, 2019-11-14 17:22:30, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001311
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/default/site, HTTP/1.1, 303, 0.106713
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/default/index, HTTP/1.1, 200, 0.026822
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000416
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001167
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.001864
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.002006
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001823
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003289
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003437
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000813
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002511
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002171
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003344
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.003860
127.0.0.1, 2019-11-14 17:22:31, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.001674
